,Slice,x-grid,y-grid,Poren,num Black pixels
0,397,0,0,0,31
1,398,0,0,0,5
2,399,0,0,0,5
3,400,0,0,1,44
4,401,0,0,1,51
5,402,0,0,1,100
6,403,0,0,1,105
7,404,0,0,1,64
8,405,0,0,1,70
9,406,0,0,1,54
10,407,0,0,1,52
11,408,0,0,1,57
12,409,0,0,0,31
13,410,0,0,0,20
14,411,0,0,1,48
15,412,0,0,0,4
16,413,0,0,1,38
17,414,0,0,1,159
18,415,0,0,0,7
19,416,0,0,1,176
20,417,0,0,1,143
21,418,0,0,1,49
22,419,0,0,1,43
23,420,0,0,1,71
24,421,0,0,0,18
25,422,0,0,1,77
26,423,0,0,1,129
27,424,0,0,1,154
28,425,0,0,1,403
29,426,0,0,1,186
30,427,0,0,1,161
31,428,0,0,1,111
32,429,0,0,1,320
33,430,0,0,1,112
34,431,0,0,1,50
35,432,0,0,1,117
36,433,0,0,1,99
37,434,0,0,0,24
38,435,0,0,1,99
39,436,0,0,1,61
40,437,0,0,1,103
41,438,0,0,1,118
42,439,0,0,1,80
43,440,0,0,1,35
44,441,0,0,1,39
45,442,0,0,1,70
46,443,0,0,1,33
47,444,0,0,1,81
48,445,0,0,1,77
49,446,0,0,1,231
50,447,0,0,1,396
51,448,0,0,1,541
52,449,0,0,1,338
53,450,0,0,1,115
54,451,0,0,1,183
55,452,0,0,1,304
56,453,0,0,1,248
57,454,0,0,1,182
58,455,0,0,1,207
59,456,0,0,1,75
60,457,0,0,1,64
61,458,0,0,0,12
62,459,0,0,1,40
63,460,0,0,0,29
64,461,0,0,0,5
65,462,0,0,1,58
66,463,0,0,1,121
67,464,0,0,1,57
68,465,0,0,0,4
69,466,0,0,0,12
70,467,0,0,0,17
71,468,0,0,1,69
72,469,0,0,1,103
73,470,0,0,1,62
74,471,0,0,1,51
75,472,0,0,0,1
76,473,0,0,0,10
77,474,0,0,0,11
78,475,0,0,0,0
79,476,0,0,0,2
80,477,0,0,0,7
81,478,0,0,1,206
82,479,0,0,1,45
83,480,0,0,0,25
84,481,0,0,0,12
85,482,0,0,0,26
86,483,0,0,1,118
87,484,0,0,1,163
88,485,0,0,1,129
89,486,0,0,1,108
90,487,0,0,1,238
91,488,0,0,1,106
92,489,0,0,1,38
93,490,0,0,0,29
94,491,0,0,0,2
95,492,0,0,0,8
96,493,0,0,1,66
97,494,0,0,0,0
98,495,0,0,0,9
99,496,0,0,0,0
100,497,0,0,0,10
101,498,0,0,0,13
102,499,0,0,0,1
103,500,0,0,0,4
104,501,0,0,1,113
105,502,0,0,0,21
106,503,0,0,0,0
107,504,0,0,0,14
108,505,0,0,0,0
109,506,0,0,0,1
110,507,0,0,0,10
111,508,0,0,0,3
112,509,0,0,0,0
113,510,0,0,0,8
114,511,0,0,0,18
115,512,0,0,1,70
116,513,0,0,0,14
117,514,0,0,0,3
118,515,0,0,1,82
119,516,0,0,1,181
120,517,0,0,1,140
121,518,0,0,0,23
122,519,0,0,0,0
123,520,0,0,0,0
124,521,0,0,0,2
125,522,0,0,0,27
126,523,0,0,0,8
127,524,0,0,0,1
128,525,0,0,0,0
129,526,0,0,0,0
130,527,0,0,0,0
131,528,0,0,0,16
132,529,0,0,0,4
133,530,0,0,0,0
134,531,0,0,0,13
135,532,0,0,0,2
136,533,0,0,0,0
137,534,0,0,0,5
138,535,0,0,1,33
139,536,0,0,1,180
140,537,0,0,1,100
141,538,0,0,0,20
142,539,0,0,0,3
143,540,0,0,0,5
144,541,0,0,0,24
145,542,0,0,0,8
146,543,0,0,0,14
147,544,0,0,1,68
148,545,0,0,0,19
149,546,0,0,0,7
150,547,0,0,0,6
151,548,0,0,0,4
152,549,0,0,0,21
153,550,0,0,0,24
154,551,0,0,0,1
155,552,0,0,0,2
156,553,0,0,0,1
157,554,0,0,0,1
158,555,0,0,0,15
159,556,0,0,1,72
160,557,0,0,1,162
161,558,0,0,0,20
162,559,0,0,1,145
163,560,0,0,1,109
164,561,0,0,1,77
165,562,0,0,1,136
166,563,0,0,1,131
167,564,0,0,1,60
168,565,0,0,1,47
169,566,0,0,0,27
170,567,0,0,0,9
171,568,0,0,0,0
172,569,0,0,0,22
173,570,0,0,0,1
174,571,0,0,0,29
175,572,0,0,1,81
176,573,0,0,1,116
177,574,0,0,0,6
178,575,0,0,1,81
179,576,0,0,1,35
180,577,0,0,0,12
181,578,0,0,0,3
182,579,0,0,0,4
183,580,0,0,0,2
184,581,0,0,0,13
185,582,0,0,0,8
186,583,0,0,0,30
187,584,0,0,0,0
188,585,0,0,0,5
189,586,0,0,0,0
190,587,0,0,0,18
191,588,0,0,0,13
192,589,0,0,1,214
193,590,0,0,1,154
194,591,0,0,1,44
195,592,0,0,0,14
196,593,0,0,0,13
197,594,0,0,0,11
198,595,0,0,1,40
199,596,0,0,1,37
200,597,0,0,1,36
201,598,0,0,0,28
202,599,0,0,0,8
203,600,0,0,1,61
204,601,0,0,1,57
205,602,0,0,0,19
206,603,0,0,0,15
207,604,0,0,0,8
208,605,0,0,0,11
209,606,0,0,1,49
210,607,0,0,0,15
211,608,0,0,0,2
212,609,0,0,1,147
213,610,0,0,0,15
214,611,0,0,1,35
215,612,0,0,1,79
216,613,0,0,0,10
217,614,0,0,0,18
218,615,0,0,0,16
219,616,0,0,0,5
220,617,0,0,0,8
221,618,0,0,0,7
222,619,0,0,0,8
223,620,0,0,0,1
224,621,0,0,0,10
225,622,0,0,0,1
226,623,0,0,0,3
227,624,0,0,0,17
228,625,0,0,0,9
229,626,0,0,0,4
230,627,0,0,0,2
231,628,0,0,0,17
232,629,0,0,0,8
233,630,0,0,0,2
234,631,0,0,1,69
235,632,0,0,0,21
236,633,0,0,0,3
237,634,0,0,0,3
238,635,0,0,0,3
239,636,0,0,0,7
240,637,0,0,0,3
241,638,0,0,0,14
242,639,0,0,0,15
243,640,0,0,0,4
244,641,0,0,0,0
245,642,0,0,1,37
246,643,0,0,1,33
247,644,0,0,0,4
248,645,0,0,0,0
249,646,0,0,0,14
250,647,0,0,0,14
251,648,0,0,0,31
252,649,0,0,1,68
253,650,0,0,1,55
254,651,0,0,0,3
255,652,0,0,1,110
256,653,0,0,1,37
257,654,0,0,0,12
258,655,0,0,0,9
259,656,0,0,0,4
260,657,0,0,0,1
261,658,0,0,0,2
262,659,0,0,1,60
263,660,0,0,0,5
264,661,0,0,0,6
265,662,0,0,0,24
266,663,0,0,1,43
267,664,0,0,1,32
268,665,0,0,0,1
269,666,0,0,1,96
270,667,0,0,0,1
271,668,0,0,0,6
272,669,0,0,0,1
273,670,0,0,0,0
274,671,0,0,0,3
275,672,0,0,0,1
276,673,0,0,0,7
277,674,0,0,1,46
278,675,0,0,0,4
279,676,0,0,1,34
280,677,0,0,0,4
281,678,0,0,0,0
282,679,0,0,0,0
283,680,0,0,0,17
284,681,0,0,0,4
285,682,0,0,0,3
286,683,0,0,1,32
287,684,0,0,0,4
288,685,0,0,1,57
289,686,0,0,1,151
290,687,0,0,1,71
291,688,0,0,0,3
292,689,0,0,0,10
293,690,0,0,0,4
294,691,0,0,0,4
295,692,0,0,0,7
296,693,0,0,0,18
297,694,0,0,0,2
298,695,0,0,0,9
299,696,0,0,0,3
300,697,0,0,1,78
301,698,0,0,1,144
302,699,0,0,1,129
303,700,0,0,0,20
304,701,0,0,1,35
305,702,0,0,0,1
306,703,0,0,0,1
307,704,0,0,0,3
308,705,0,0,0,1
309,706,0,0,1,56
310,707,0,0,0,14
311,708,0,0,0,8
312,709,0,0,0,9
313,710,0,0,0,20
314,711,0,0,1,43
315,712,0,0,1,129
316,713,0,0,1,237
317,714,0,0,1,37
318,715,0,0,0,20
319,716,0,0,0,6
320,717,0,0,1,46
321,718,0,0,1,105
322,719,0,0,1,50
323,720,0,0,0,31
324,721,0,0,0,16
325,722,0,0,0,4
326,723,0,0,1,69
327,724,0,0,1,74
328,725,0,0,0,7
329,726,0,0,0,1
330,727,0,0,0,25
331,728,0,0,0,2
332,729,0,0,0,0
333,730,0,0,0,1
334,731,0,0,0,7
335,732,0,0,0,1
336,733,0,0,0,2
337,734,0,0,0,7
338,735,0,0,0,3
339,736,0,0,1,143
340,737,0,0,0,7
341,738,0,0,0,15
342,739,0,0,0,3
343,740,0,0,0,9
344,741,0,0,0,3
345,742,0,0,0,7
346,743,0,0,0,1
347,744,0,0,0,4
348,745,0,0,0,24
349,746,0,0,0,10
350,747,0,0,0,13
351,748,0,0,0,4
352,749,0,0,0,16
353,750,0,0,0,13
354,751,0,0,0,10
355,752,0,0,0,1
356,753,0,0,0,4
357,754,0,0,0,10
358,755,0,0,0,28
359,756,0,0,0,26
360,757,0,0,1,37
361,758,0,0,0,18
362,759,0,0,1,74
363,760,0,0,0,24
364,761,0,0,0,1
365,762,0,0,0,1
366,763,0,0,0,11
367,764,0,0,1,42
368,765,0,0,1,64
369,766,0,0,1,57
370,767,0,0,0,2
371,768,0,0,0,31
372,769,0,0,1,64
373,770,0,0,1,47
374,771,0,0,0,14
375,772,0,0,0,0
376,773,0,0,0,15
377,774,0,0,0,4
378,775,0,0,0,12
379,776,0,0,1,37
380,777,0,0,1,1476
381,778,0,0,1,6534
382,779,0,0,1,8322
383,780,0,0,1,6937
384,781,0,0,1,6064
385,782,0,0,1,5438
386,783,0,0,1,5137
387,784,0,0,1,5118
388,785,0,0,1,4791
389,786,0,0,1,5002
390,787,0,0,1,4887
391,788,0,0,1,4997
392,789,0,0,1,4837
393,790,0,0,1,4634
394,791,0,0,1,5250
395,792,0,0,1,5532
396,793,0,0,1,5736
397,794,0,0,1,5176
398,795,0,0,1,4478
399,796,0,0,1,4396
400,797,0,0,1,4351
401,798,0,0,1,3919
402,799,0,0,1,4322
403,800,0,0,1,4660
404,801,0,0,1,4867
405,802,0,0,1,4729
406,803,0,0,1,4807
407,804,0,0,1,5014
408,805,0,0,1,4664
409,806,0,0,1,4471
410,807,0,0,1,4388
411,808,0,0,1,4152
412,809,0,0,1,4448
413,810,0,0,1,4399
414,811,0,0,1,4523
415,812,0,0,1,4478
416,813,0,0,1,3959
417,814,0,0,1,3937
418,815,0,0,1,4098
419,816,0,0,1,4437
420,817,0,0,1,5156
421,818,0,0,1,5066
422,819,0,0,1,4633
423,820,0,0,1,3823
424,821,0,0,1,3697
425,822,0,0,1,4064
426,823,0,0,1,4130
427,824,0,0,1,4272
428,825,0,0,1,4557
429,826,0,0,1,4421
430,827,0,0,1,4469
431,828,0,0,1,4373
432,829,0,0,1,4482
433,830,0,0,1,3787
434,831,0,0,1,3885
435,832,0,0,1,3980
436,833,0,0,1,3975
437,834,0,0,1,4229
438,835,0,0,1,4248
439,836,0,0,1,3923
440,837,0,0,1,4183
441,838,0,0,1,3926
442,839,0,0,1,4929
443,840,0,0,1,5347
444,841,0,0,1,5047
445,842,0,0,1,4346
446,843,0,0,1,4436
447,844,0,0,1,4843
448,845,0,0,1,4668
449,846,0,0,1,4922
450,847,0,0,1,4904
451,848,0,0,1,4291
452,849,0,0,1,3860
453,850,0,0,1,3675
454,851,0,0,1,3390
455,852,0,0,1,3354
456,853,0,0,1,3888
457,854,0,0,1,4040
458,855,0,0,1,3654
459,856,0,0,1,4365
460,857,0,0,1,6689
461,858,0,0,1,8586
462,859,0,0,1,8773
463,860,0,0,1,7518
464,861,0,0,1,4208
