,Slice,x-grid,y-grid,Poren,num Black pixels
0,348,0,0,1,388
1,348,0,1,1,109
2,348,1,0,1,261
3,348,1,1,1,116
4,349,0,0,1,480
5,349,0,1,1,75
6,349,1,0,1,190
7,349,1,1,0,36
8,350,0,0,1,243
9,350,0,1,0,23
10,350,1,0,1,231
11,350,1,1,0,12
12,351,0,0,1,93
13,351,0,1,1,52
14,351,1,0,1,97
15,351,1,1,1,113
16,352,0,0,0,24
17,352,0,1,1,54
18,352,1,0,0,14
19,352,1,1,1,109
20,353,0,0,1,156
21,353,0,1,1,51
22,353,1,0,1,43
23,353,1,1,0,8
24,354,0,0,0,20
25,354,0,1,1,81
26,354,1,0,1,332
27,354,1,1,0,15
28,355,0,0,0,33
29,355,0,1,1,106
30,355,1,0,1,205
31,355,1,1,0,13
32,356,0,0,0,19
33,356,0,1,1,164
34,356,1,0,1,61
35,356,1,1,0,13
36,357,0,0,0,12
37,357,0,1,1,153
38,357,1,0,0,7
39,357,1,1,0,16
40,358,0,0,1,136
41,358,0,1,0,9
42,358,1,0,1,43
43,358,1,1,1,243
44,359,0,0,1,196
45,359,0,1,0,12
46,359,1,0,0,24
47,359,1,1,1,477
48,360,0,0,0,14
49,360,0,1,0,10
50,360,1,0,0,18
51,360,1,1,1,478
52,361,0,0,0,18
53,361,0,1,0,36
54,361,1,0,0,9
55,361,1,1,1,477
56,362,0,0,0,11
57,362,0,1,0,39
58,362,1,0,1,66
59,362,1,1,1,588
60,363,0,0,0,14
61,363,0,1,0,8
62,363,1,0,1,72
63,363,1,1,1,659
64,364,0,0,0,16
65,364,0,1,0,12
66,364,1,0,0,20
67,364,1,1,1,154
68,365,0,0,0,6
69,365,0,1,0,9
70,365,1,0,0,27
71,365,1,1,1,69
72,366,0,0,0,19
73,366,0,1,0,10
74,366,1,0,0,8
75,366,1,1,0,16
76,367,0,0,0,19
77,367,0,1,0,17
78,367,1,0,0,6
79,367,1,1,0,27
80,368,0,0,0,9
81,368,0,1,1,207
82,368,1,0,0,19
83,368,1,1,1,43
84,369,0,0,0,37
85,369,0,1,1,519
86,369,1,0,0,3
87,369,1,1,1,97
88,370,0,0,1,343
89,370,0,1,1,323
90,370,1,0,0,5
91,370,1,1,0,27
92,371,0,0,1,357
93,371,0,1,1,79
94,371,1,0,0,4
95,371,1,1,0,14
96,372,0,0,1,86
97,372,0,1,0,16
98,372,1,0,0,12
99,372,1,1,1,91
100,373,0,0,1,103
101,373,0,1,0,7
102,373,1,0,0,9
103,373,1,1,0,11
104,374,0,0,0,28
105,374,0,1,0,6
106,374,1,0,0,10
107,374,1,1,0,9
108,375,0,0,0,34
109,375,0,1,0,16
110,375,1,0,0,4
111,375,1,1,1,77
112,376,0,0,0,4
113,376,0,1,0,6
114,376,1,0,0,10
115,376,1,1,0,8
116,377,0,0,0,1
117,377,0,1,0,33
118,377,1,0,0,8
119,377,1,1,0,29
120,378,0,0,0,2
121,378,0,1,0,13
122,378,1,0,0,15
123,378,1,1,1,180
124,379,0,0,0,5
125,379,0,1,0,8
126,379,1,0,0,14
127,379,1,1,0,31
128,380,0,0,0,7
129,380,0,1,0,3
130,380,1,0,0,0
131,380,1,1,0,8
132,381,0,0,0,36
133,381,0,1,0,36
134,381,1,0,0,3
135,381,1,1,0,6
136,382,0,0,0,30
137,382,0,1,1,134
138,382,1,0,0,21
139,382,1,1,1,43
140,383,0,0,0,13
141,383,0,1,1,64
142,383,1,0,1,57
143,383,1,1,1,42
144,384,0,0,0,26
145,384,0,1,0,27
146,384,1,0,0,28
147,384,1,1,0,24
148,385,0,0,0,6
149,385,0,1,1,53
150,385,1,0,1,262
151,385,1,1,1,171
152,386,0,0,1,48
153,386,0,1,1,148
154,386,1,0,1,83
155,386,1,1,1,51
156,387,0,0,1,78
157,387,0,1,1,91
158,387,1,0,0,30
159,387,1,1,1,46
160,388,0,0,0,12
161,388,0,1,0,26
162,388,1,0,1,60
163,388,1,1,1,168
164,389,0,0,0,2
165,389,0,1,1,106
166,389,1,0,0,29
167,389,1,1,1,85
168,390,0,0,1,50
169,390,0,1,1,242
170,390,1,0,0,13
171,390,1,1,0,17
172,391,0,0,1,167
173,391,0,1,1,57
174,391,1,0,1,214
175,391,1,1,0,12
176,392,0,0,1,57
177,392,0,1,1,75
178,392,1,0,1,48
179,392,1,1,1,144
180,393,0,0,0,7
181,393,0,1,1,402
182,393,1,0,0,13
183,393,1,1,0,0
184,394,0,0,0,12
185,394,0,1,1,260
186,394,1,0,0,1
187,394,1,1,0,10
188,395,0,0,0,32
189,395,0,1,0,10
190,395,1,0,0,2
191,395,1,1,0,3
192,396,0,0,1,110
193,396,0,1,0,4
194,396,1,0,0,0
195,396,1,1,0,1
196,397,0,0,0,16
197,397,0,1,0,3
198,397,1,0,0,28
199,397,1,1,0,2
200,398,0,0,0,15
201,398,0,1,0,17
202,398,1,0,0,2
203,398,1,1,1,76
204,399,0,0,0,7
205,399,0,1,0,26
206,399,1,0,0,2
207,399,1,1,0,21
208,400,0,0,0,5
209,400,0,1,1,87
210,400,1,0,1,135
211,400,1,1,0,4
212,401,0,0,1,190
213,401,0,1,1,65
214,401,1,0,1,316
215,401,1,1,0,20
216,402,0,0,1,1019
217,402,0,1,1,238
218,402,1,0,1,204
219,402,1,1,1,201
220,403,0,0,1,474
221,403,0,1,1,214
222,403,1,0,0,24
223,403,1,1,1,318
224,404,0,0,1,205
225,404,0,1,1,87
226,404,1,0,0,9
227,404,1,1,1,92
